uni1B170	 𛅰 	NUSHU CHARACTER-1B170
uni1B171	 𛅱 	NUSHU CHARACTER-1B171
uni1B172	 𛅲 	NUSHU CHARACTER-1B172
uni1B173	 𛅳 	NUSHU CHARACTER-1B173
uni1B174	 𛅴 	NUSHU CHARACTER-1B174
uni1B175	 𛅵 	NUSHU CHARACTER-1B175
uni1B176	 𛅶 	NUSHU CHARACTER-1B176
uni1B177	 𛅷 	NUSHU CHARACTER-1B177
uni1B178	 𛅸 	NUSHU CHARACTER-1B178
uni1B179	 𛅹 	NUSHU CHARACTER-1B179
uni1B17A	 𛅺 	NUSHU CHARACTER-1B17A
uni1B17B	 𛅻 	NUSHU CHARACTER-1B17B
uni1B17C	 𛅼 	NUSHU CHARACTER-1B17C
uni1B17D	 𛅽 	NUSHU CHARACTER-1B17D
uni1B17E	 𛅾 	NUSHU CHARACTER-1B17E
uni1B17F	 𛅿 	NUSHU CHARACTER-1B17F
uni1B180	 𛆀 	NUSHU CHARACTER-1B180
uni1B181	 𛆁 	NUSHU CHARACTER-1B181
uni1B182	 𛆂 	NUSHU CHARACTER-1B182
uni1B183	 𛆃 	NUSHU CHARACTER-1B183
uni1B184	 𛆄 	NUSHU CHARACTER-1B184
uni1B185	 𛆅 	NUSHU CHARACTER-1B185
uni1B186	 𛆆 	NUSHU CHARACTER-1B186
uni1B187	 𛆇 	NUSHU CHARACTER-1B187
uni1B188	 𛆈 	NUSHU CHARACTER-1B188
uni1B189	 𛆉 	NUSHU CHARACTER-1B189
uni1B18A	 𛆊 	NUSHU CHARACTER-1B18A
uni1B18B	 𛆋 	NUSHU CHARACTER-1B18B
uni1B18C	 𛆌 	NUSHU CHARACTER-1B18C
uni1B18D	 𛆍 	NUSHU CHARACTER-1B18D
uni1B18E	 𛆎 	NUSHU CHARACTER-1B18E
uni1B18F	 𛆏 	NUSHU CHARACTER-1B18F
uni1B190	 𛆐 	NUSHU CHARACTER-1B190
uni1B191	 𛆑 	NUSHU CHARACTER-1B191
uni1B192	 𛆒 	NUSHU CHARACTER-1B192
uni1B193	 𛆓 	NUSHU CHARACTER-1B193
uni1B194	 𛆔 	NUSHU CHARACTER-1B194
uni1B195	 𛆕 	NUSHU CHARACTER-1B195
uni1B196	 𛆖 	NUSHU CHARACTER-1B196
uni1B197	 𛆗 	NUSHU CHARACTER-1B197
uni1B198	 𛆘 	NUSHU CHARACTER-1B198
uni1B199	 𛆙 	NUSHU CHARACTER-1B199
uni1B19A	 𛆚 	NUSHU CHARACTER-1B19A
uni1B19B	 𛆛 	NUSHU CHARACTER-1B19B
uni1B19C	 𛆜 	NUSHU CHARACTER-1B19C
uni1B19D	 𛆝 	NUSHU CHARACTER-1B19D
uni1B19E	 𛆞 	NUSHU CHARACTER-1B19E
uni1B19F	 𛆟 	NUSHU CHARACTER-1B19F
uni1B1A0	 𛆠 	NUSHU CHARACTER-1B1A0
uni1B1A1	 𛆡 	NUSHU CHARACTER-1B1A1
uni1B1A2	 𛆢 	NUSHU CHARACTER-1B1A2
uni1B1A3	 𛆣 	NUSHU CHARACTER-1B1A3
uni1B1A4	 𛆤 	NUSHU CHARACTER-1B1A4
uni1B1A5	 𛆥 	NUSHU CHARACTER-1B1A5
uni1B1A6	 𛆦 	NUSHU CHARACTER-1B1A6
uni1B1A7	 𛆧 	NUSHU CHARACTER-1B1A7
uni1B1A8	 𛆨 	NUSHU CHARACTER-1B1A8
uni1B1A9	 𛆩 	NUSHU CHARACTER-1B1A9
uni1B1AA	 𛆪 	NUSHU CHARACTER-1B1AA
uni1B1AB	 𛆫 	NUSHU CHARACTER-1B1AB
uni1B1AC	 𛆬 	NUSHU CHARACTER-1B1AC
uni1B1AD	 𛆭 	NUSHU CHARACTER-1B1AD
uni1B1AE	 𛆮 	NUSHU CHARACTER-1B1AE
uni1B1AF	 𛆯 	NUSHU CHARACTER-1B1AF
uni1B1B0	 𛆰 	NUSHU CHARACTER-1B1B0
uni1B1B1	 𛆱 	NUSHU CHARACTER-1B1B1
uni1B1B2	 𛆲 	NUSHU CHARACTER-1B1B2
uni1B1B3	 𛆳 	NUSHU CHARACTER-1B1B3
uni1B1B4	 𛆴 	NUSHU CHARACTER-1B1B4
uni1B1B5	 𛆵 	NUSHU CHARACTER-1B1B5
uni1B1B6	 𛆶 	NUSHU CHARACTER-1B1B6
uni1B1B7	 𛆷 	NUSHU CHARACTER-1B1B7
uni1B1B8	 𛆸 	NUSHU CHARACTER-1B1B8
uni1B1B9	 𛆹 	NUSHU CHARACTER-1B1B9
uni1B1BA	 𛆺 	NUSHU CHARACTER-1B1BA
uni1B1BB	 𛆻 	NUSHU CHARACTER-1B1BB
uni1B1BC	 𛆼 	NUSHU CHARACTER-1B1BC
uni1B1BD	 𛆽 	NUSHU CHARACTER-1B1BD
uni1B1BE	 𛆾 	NUSHU CHARACTER-1B1BE
uni1B1BF	 𛆿 	NUSHU CHARACTER-1B1BF
uni1B1C0	 𛇀 	NUSHU CHARACTER-1B1C0
uni1B1C1	 𛇁 	NUSHU CHARACTER-1B1C1
uni1B1C2	 𛇂 	NUSHU CHARACTER-1B1C2
uni1B1C3	 𛇃 	NUSHU CHARACTER-1B1C3
uni1B1C4	 𛇄 	NUSHU CHARACTER-1B1C4
uni1B1C5	 𛇅 	NUSHU CHARACTER-1B1C5
uni1B1C6	 𛇆 	NUSHU CHARACTER-1B1C6
uni1B1C7	 𛇇 	NUSHU CHARACTER-1B1C7
uni1B1C8	 𛇈 	NUSHU CHARACTER-1B1C8
uni1B1C9	 𛇉 	NUSHU CHARACTER-1B1C9
uni1B1CA	 𛇊 	NUSHU CHARACTER-1B1CA
uni1B1CB	 𛇋 	NUSHU CHARACTER-1B1CB
uni1B1CC	 𛇌 	NUSHU CHARACTER-1B1CC
uni1B1CD	 𛇍 	NUSHU CHARACTER-1B1CD
uni1B1CE	 𛇎 	NUSHU CHARACTER-1B1CE
uni1B1CF	 𛇏 	NUSHU CHARACTER-1B1CF
uni1B1D0	 𛇐 	NUSHU CHARACTER-1B1D0
uni1B1D1	 𛇑 	NUSHU CHARACTER-1B1D1
uni1B1D2	 𛇒 	NUSHU CHARACTER-1B1D2
uni1B1D3	 𛇓 	NUSHU CHARACTER-1B1D3
uni1B1D4	 𛇔 	NUSHU CHARACTER-1B1D4
uni1B1D5	 𛇕 	NUSHU CHARACTER-1B1D5
uni1B1D6	 𛇖 	NUSHU CHARACTER-1B1D6
uni1B1D7	 𛇗 	NUSHU CHARACTER-1B1D7
uni1B1D8	 𛇘 	NUSHU CHARACTER-1B1D8
uni1B1D9	 𛇙 	NUSHU CHARACTER-1B1D9
uni1B1DA	 𛇚 	NUSHU CHARACTER-1B1DA
uni1B1DB	 𛇛 	NUSHU CHARACTER-1B1DB
uni1B1DC	 𛇜 	NUSHU CHARACTER-1B1DC
uni1B1DD	 𛇝 	NUSHU CHARACTER-1B1DD
uni1B1DE	 𛇞 	NUSHU CHARACTER-1B1DE
uni1B1DF	 𛇟 	NUSHU CHARACTER-1B1DF
uni1B1E0	 𛇠 	NUSHU CHARACTER-1B1E0
uni1B1E1	 𛇡 	NUSHU CHARACTER-1B1E1
uni1B1E2	 𛇢 	NUSHU CHARACTER-1B1E2
uni1B1E3	 𛇣 	NUSHU CHARACTER-1B1E3
uni1B1E4	 𛇤 	NUSHU CHARACTER-1B1E4
uni1B1E5	 𛇥 	NUSHU CHARACTER-1B1E5
uni1B1E6	 𛇦 	NUSHU CHARACTER-1B1E6
uni1B1E7	 𛇧 	NUSHU CHARACTER-1B1E7
uni1B1E8	 𛇨 	NUSHU CHARACTER-1B1E8
uni1B1E9	 𛇩 	NUSHU CHARACTER-1B1E9
uni1B1EA	 𛇪 	NUSHU CHARACTER-1B1EA
uni1B1EB	 𛇫 	NUSHU CHARACTER-1B1EB
uni1B1EC	 𛇬 	NUSHU CHARACTER-1B1EC
uni1B1ED	 𛇭 	NUSHU CHARACTER-1B1ED
uni1B1EE	 𛇮 	NUSHU CHARACTER-1B1EE
uni1B1EF	 𛇯 	NUSHU CHARACTER-1B1EF
uni1B1F0	 𛇰 	NUSHU CHARACTER-1B1F0
uni1B1F1	 𛇱 	NUSHU CHARACTER-1B1F1
